Datum,Št dogodkov,Št bitk ali vojn,Št rojstev,Št smrti
21.november,66,9,199,116
22.november,33,3,218,76
23.november,50,7,214,112
24.november,47,7,237,108
25.november,60,10,219,98
26.november,50,10,250,111
27.november,53,6,241,117
28.november,57,14,230,112
29.november,43,12,213,119
30.november,39,11,248,113
1.december,61,7,233,115
2.december,52,8,225,109
3.december,47,9,228,98
4.december,64,12,192,98
5.december,52,7,237,101
6.december,45,6,248,89
7.december,41,7,205,117
8.december,42,7,264,113
9.december,54,14,256,109
10.december,51,11,210,119
11.december,62,13,215,91
12.december,30,6,129,66
13.december,37,6,126,89
14.december,50,8,230,116
15.december,50,12,206,84
16.december,40,13,227,109
17.december,62,8,239,96
18.december,41,6,212,105
19.december,50,9,232,89
20.december,41,5,176,92
21.december,43,6,171,64
22.december,62,7,215,95
23.december,44,9,230,105
24.december,53,6,245,131
25.december,61,7,233,126
26.december,45,7,195,118
27.december,40,4,227,122
28.december,38,6,194,98
29.december,32,5,160,128
30.december,45,8,228,104
31.december,61,8,208,128
